index	date	title_es	title_eu	summary_es	summary_eu
20	2025-12-13	Vitoria-Gasteiz homenajea a Kerman Villate	Kerman Villate omendu dute Gasteizen	ORAIN informa del homenaje celebrado en memoria de Kerman, fallecido tras el golpe de un portero de Mítika.	ORAINek Mitikako atezain baten kolpearen ondorioz hildako Kermanen oroimenez egindako omenaldiaren berri eman du.
21	2025-12-01	La familia valora las imágenes del golpe y reclama un juicio por asesinato	Familiak kolpearen irudiak baloratu eta erailketagatik epaitzea eskatu du	ORAIN recoge la interpretación de la familia sobre las imágenes y su desacuerdo con la decisión judicial sobre el acusado.	ORAINek familiak irudiei buruz egindako interpretazioa eta akusatuaren inguruko erabaki judizialarekiko desadostasuna jaso ditu.
23	2026-08-02	Egia Kermanentzat presenta su web y una mesa informativa	Egia Kermanentzat elkarteak webgunea eta informazio mahaia aurkeztu ditu	Noticias de Álava anuncia la web de la asociación y la mesa informativa prevista para el 5 de agosto en Vitoria-Gasteiz.	Noticias de Álavak elkartearen webgunearen eta abuztuaren 5erako Gasteizen aurreikusitako informazio mahaiaren berri eman du.
24	2026-06-15	Una nueva asociación reclama justicia y verdad para Kerman	Elkarte berri batek justizia eta egia eskatu ditu Kermanentzat	Noticias de Álava informa de la creación de una asociación que reclama el esclarecimiento de la muerte de Kerman.	Noticias de Álavak Kermanen heriotza argitzea eskatzen duen elkarte berriaren sorreraren berri eman du.
25	2025-12-13	Vitoria-Gasteiz pide justicia para Kerman Villate	Gasteizek justizia eskatu du Kerman Villaterentzat	Noticias de Álava recoge la movilización ciudadana en recuerdo de Kerman y en demanda de justicia.	Noticias de Álavak Kerman oroitzeko eta justizia eskatzeko herritarrek egindako mobilizazioa jaso du.
26	2026-04-30	La familia cuestiona la respuesta judicial al recurso	Familiak errekurtsoari emandako erantzun judiziala auzitan jarri du	Cadena SER recoge la reacción familiar tras la inadmisión del recurso ante el Supremo y sus críticas al recorrido judicial del caso.	Cadena SERek familiaren erreakzioa jaso du Gorenak errekurtsoa ez onartu ondoren, baita auziaren bide judizialari egindako kritikak ere.
27	2026-02-23	Un año sin Kerman: la familia mantiene su reclamación de justicia	Urtebete Kerman gabe: familiak justizia eskatzen jarraitzen du	Cadena SER entrevista a la familia en el primer aniversario y recoge sus preocupaciones sobre el recorrido judicial del caso.	Cadena SERek familiari elkarrizketa egin dio lehen urteurrenean, eta auziaren bide judizialari buruzko kezkak jaso ditu.
28	2026-04-30	Roberto Villate habla sobre los derechos de Kerman	Roberto Villate Kermanen eskubideei buruz mintzatu da	Audio de la entrevista de SER Vitoria al padre de Kerman sobre la inadmisión del recurso presentado ante el Supremo.	SER Vitoriak Kermanen aitari egindako elkarrizketaren audioa, Gorenaren aurrean aurkeztutako errekurtsoa ez onartzeari buruz.
29	2025-05-21	La familia denuncia negligencias institucionales ante el Parlamento Vasco	Familiak erakundeen zabarkeriak salatu ditu Eusko Legebiltzarraren aurrean	Cadena SER informa de la carta en la que la familia solicita reformas y garantías para evitar que se repitan hechos similares.	Cadena SERek familiaren gutunaren berri eman du; erreformak eta antzeko gertakariak ez errepikatzeko bermeak eskatzen ditu.
30	2025-11-27	Arantza Beitia valora la puesta en libertad del acusado	Arantza Beitiak akusatua aske utzi izana baloratu du	La madre de Kerman expresa en Cadena SER su desacuerdo con la decisión judicial y su preocupación por el mensaje que transmite.	Kermanen amak Cadena SERen azaldu du erabaki judizialarekiko desadostasuna eta hark zabaltzen duen mezuarekiko kezka.
31	2026-06-09	Egia Kermanentzat critica los criterios de Fiscalía y Audiencia	Egia Kermanentzat elkarteak Fiskaltzaren eta Auzitegiaren irizpideak kritikatu ditu	El Correo recoge las críticas de la asociación sobre el tratamiento judicial del caso y el riesgo de absolución que denuncia.	El Correok elkartearen kritikak jaso ditu auziaren tratamendu judizialari buruz, baita elkarteak salatzen duen absoluzio arriskua ere.
32	2026-07-08	La familia denuncia desamparo ante la respuesta municipal	Familiak babesgabetasuna salatu du Udalaren erantzunaren aurrean	El Correo informa de las críticas de la familia a la actuación del Ayuntamiento y a su respuesta al Ararteko.	El Correok familiak Udalaren jardunari eta Arartekoari emandako erantzunari egindako kritikak jaso ditu.
33	2026-06-03	Nace una asociación para esclarecer la muerte de Kerman	Kermanen heriotza argitzeko elkartea sortu dute	El Correo presenta la iniciativa de familiares y amistades para reclamar verdad y justicia por la muerte de Kerman.	El Correok senideek eta lagunek Kermanen heriotzaren inguruko egia eta justizia eskatzeko sortutako ekimena aurkeztu du.
34	2026-06-13	El Ararteko cuestiona la actuación municipal ante los incidentes de Mítika	Arartekoak Udalaren jarduna auzitan jarri du Mitikako gertakarien harira	El Correo informa del reproche del Ararteko al Ayuntamiento por su respuesta a 29 incidentes anteriores a la muerte de Kerman.	El Correok Arartekoak Udalari egindako kritikaren berri eman du, Kerman hil aurreko 29 gertakariri emandako erantzunagatik.
35	2025-12-03	Sanciones a Mítika, la empresa de seguridad y varios porteros	Mitikari, segurtasun enpresari eta hainbat atezaini zigorrak	El Correo informa de sanciones cercanas a 100.000 euros por incumplimientos relacionados con la seguridad privada.	El Correok segurtasun pribatuaren arloko arau hausteengatik ezarritako ia 100.000 euroko zigorren berri eman du.
36	2026-02-23	Un año del crimen de Mítika	Urtebete Mitikako hilketatik	Gasteiz Hoy repasa el caso al cumplirse un año de la muerte de Kerman y plantea su impacto en la seguridad del ocio nocturno.	Gasteiz Hoyk kasua berrikusi du Kerman hil zenetik urtebete igarota, eta gaueko aisialdiaren segurtasunari buruzko gogoeta egin du.
37	2025-12-03	Multas a los responsables de Mítika	Mitikako arduradunentzako isunak	Gasteiz Hoy informa de las sanciones tramitadas contra responsables de la discoteca y de su servicio de seguridad.	Gasteiz Hoyk diskotekako eta segurtasun zerbitzuko arduradunen aurka izapidetutako zigorren berri eman du.
38	2025-03-05	Controles sobre las licencias de porteros en Vitoria-Gasteiz	Atezainen lizentziei buruzko kontrolak Gasteizen	Gasteiz Hoy informa de controles municipales sobre la habilitación de porteros de locales de ocio tras lo ocurrido en Mítika.	Gasteiz Hoyk aisialdi lokaletako atezainen gaikuntzari buruzko udal kontrolen berri eman du, Mitikan gertatutakoaren ondoren.
